timestamp,user,host,event_type,source_ip,destination_ip,process_name,status
2026-02-18 02:12:10,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:13:02,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:14:30,alice,FIN-PC-01,login_success,185.34.22.11,,,success
2026-02-18 02:16:01,alice,FIN-PC-01,process_execution,,,powershell.exe,
2026-02-18 08:55:10,bob,HR-PC-02,login_success,10.0.0.45,,,success
2026-02-18 09:01:15,bob,HR-PC-02,process_execution,,,chrome.exe,
2026-02-18 09:03:22,bob,HR-PC-02,process_execution,,,outlook.exe,
2026-02-18 02:12:10,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:12:45,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:13:20,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:14:30,alice,FIN-PC-01,login_success,185.34.22.11,,,success
2026-02-18 02:16:01,alice,FIN-PC-01,process_execution,,,powershell.exe,
2026-02-18 02:17:11,alice,FIN-PC-01,process_execution,,,cmd.exe,
2026-02-18 23:40:12,charlie,ENG-PC-07,login_success,103.54.21.88,,,success
2026-02-18 23:42:18,charlie,ENG-PC-07,process_execution,,,cmd.exe,
2026-02-18 23:43:02,charlie,ENG-PC-07,process_execution,,,powershell.exe,
2026-02-18 23:45:33,charlie,ENG-PC-07,process_execution,,,net.exe,
2026-02-18 11:20:10,david,SALES-PC-03,login_success,10.0.0.78,,,success
2026-02-18 11:22:45,david,SALES-PC-03,process_execution,,,excel.exe,
2026-02-18 03:10:01,alice,FIN-PC-01,login_success,185.34.22.11,,,success
2026-02-18 03:12:17,alice,FIN-PC-01,process_execution,,,powershell.exe,
2026-02-18 14:05:55,emma,HR-PC-09,login_success,10.0.0.90,,,success
2026-02-18 14:07:33,emma,HR-PC-09,process_execution,,,teams.exe,
2026-02-18 14:09:48,emma,HR-PC-09,process_execution,,,chrome.exe,
2026-02-18 02:25:14,unknown,FIN-PC-01,login_failure,200.12.45.77,,,fail
2026-02-18 02:25:40,unknown,FIN-PC-01,login_failure,200.12.45.77,,,fail
2026-02-18 02:26:02,unknown,FIN-PC-01,login_failure,200.12.45.77,,,fail
2026-02-18 08:45:10,bob,HR-PC-02,login_success,10.0.0.45,,,success
2026-02-18 08:47:21,bob,HR-PC-02,process_execution,,,chrome.exe,
2026-02-18 08:50:02,bob,HR-PC-02,unknown_event,,,,
2026-02-18 02:12:10,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:12:40,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:13:15,alice,FIN-PC-01,login_failure,185.34.22.11,,,fail
2026-02-18 02:14:05,alice,FIN-PC-01,login_success,185.34.22.11,,,success
2026-02-18 02:15:33,alice,FIN-PC-01,process_execution,,,powershell.exe,
2026-02-18 02:17:10,alice,FIN-PC-01,unknown_event,,10.0.0.12,,
2026-02-18 23:40:12,charlie,ENG-PC-07,login_success,103.54.21.88,,,success
2026-02-18 23:42:18,charlie,ENG-PC-07,process_execution,,,cmd.exe,
2026-02-18 23:43:02,charlie,ENG-PC-07,process_execution,,,net.exe,
2026-02-18 23:45:50,charlie,ENG-PC-07,unknown_event,,10.0.0.22,,
2026-02-18 09:30:12,admin,DC-01,login_success,10.0.0.1,,,success
2026-02-18 09:31:33,admin,DC-01,unknown_event,,,,
2026-02-18 09:33:21,admin,DC-01,process_execution,,,regedit.exe,
2026-02-18 10:15:44,emma,HR-PC-09,unknown_event,,,,
2026-02-18 10:16:10,emma,HR-PC-09,unknown_event,,,,
2026-02-18 11:02:11,david,SALES-PC-03,process_execution,,,excel.exe,
2026-02-18 11:03:55,david,SALES-PC-03,unknown_event,,,,
2026-02-18 11:05:12,david,SALES-PC-03,unknown_event,,,,
2026-02-18 03:05:12,unknown,FIN-PC-01,login_failure,200.12.45.77,,,fail
2026-02-18 03:05:40,unknown,FIN-PC-01,login_failure,200.12.45.77,,,fail
2026-02-18 03:06:10,unknown,FIN-PC-01,login_failure,200.12.45.77,,,fail
2026-02-18 14:20:55,scanner,ENG-PC-02,unknown_event,,10.0.0.1,,
2026-02-18 14:21:12,scanner,ENG-PC-02,unknown_event,,10.0.0.2,,
2026-02-18 14:21:33,scanner,ENG-PC-02,unknown_event,,10.0.0.3,,
2026-02-18 16:40:22,bob,HR-PC-02,process_execution,,,malware.exe,
2026-02-18 16:41:10,bob,HR-PC-02,unknown_event,,185.199.110.153,,
2026-02-18 17:12:44,emma,HR-PC-09,unknown_event,,,,
2026-02-18 17:13:10,emma,HR-PC-09,unknown_event,,,,
2026-02-18 18:55:12,admin,DC-01,unknown_event,,,,
